,ONE,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
34%,1,Office Supplies,Troy,United States,Ted Butterfield,20%,1,6/17/2017,CA-2017-111682,12180,Other,Plastic Binding Combs,16,0.3333333333,4,East,48,Consumer,6/18/2017,First Class,New York,Binders
50%,1,Office Supplies,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180,Prang,Prang Dustless Chalk Sticks,1,0.5,1,East,2,Consumer,6/18/2017,First Class,New York,Art
44%,1,Technology,Los Angeles,United States,Kunst Miller,0%,1,11/24/2016,CA-2016-135545,90004,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6,0.4285714286,2,West,14,Consumer,11/30/2016,Standard Class,California,Accessories
36%,1,Office Supplies,Los Angeles,United States,Kunst Miller,20%,1,11/24/2016,CA-2016-135545,90004,Acco,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9,0.3461538462,6,West,26,Consumer,11/30/2016,Standard Class,California,Binders
47%,1,Office Supplies,Los Angeles,United States,Kunst Miller,0%,1,11/24/2016,CA-2016-135545,90004,Xerox,Xerox 1943,69,0.4693877551,3,West,147,Consumer,11/30/2016,Standard Class,California,Paper
28%,1,Furniture,Los Angeles,United States,Kunst Miller,0%,1,11/24/2016,CA-2016-135545,90004,Luxo,Luxo Economy Swing Arm Lamp,22,0.275,4,West,80,Consumer,11/30/2016,Standard Class,California,Furnishings
-7%,1,Furniture,Chicago,United States,Paul Stevenson,30%,1,4/30/2016,US-2016-164175,60610,Global,"Global Value Mid-Back Manager's Chair, Gray",-15,-0.07042253521,5,Central,213,Home Office,5/5/2016,Standard Class,Illinois,Chairs
10%,1,Office Supplies,Gilbert,United States,Brendan Sweed,20%,1,12/5/2015,CA-2015-106376,85234,Hunt,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111,0.09973045822,8,West,"1,113",Corporate,12/10/2015,Standard Class,Arizona,Art
38%,1,Technology,Gilbert,United States,Brendan Sweed,20%,1,12/5/2015,CA-2015-106376,85234,Other,netTALK DUO VoIP Telephone Service,63,0.375,4,West,168,Corporate,12/10/2015,Standard Class,Arizona,Phones
47%,1,Office Supplies,Springfield,United States,Karen Daniels,0%,1,6/4/2017,CA-2017-119823,22153,Other,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",36,0.4736842105,2,South,76,Consumer,6/6/2017,First Class,Virginia,Paper
38%,1,Office Supplies,New York City,United States,Henry MacAllister,20%,1,9/18/2017,CA-2017-106075,10009,Avery,Avery Binding System Hidden Tab Executive Style Index Sets,2,0.4,1,East,5,Consumer,9/23/2017,Standard Class,New York,Binders
46%,1,Office Supplies,Jackson,United States,Tracy Blumstein,0%,1,9/14/2018,CA-2018-114440,49201,Other,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",9,0.4736842105,3,Central,19,Consumer,9/17/2018,Second Class,Michigan,Paper
-14%,1,Furniture,Memphis,United States,Joel Eaton,20%,1,4/26/2016,US-2016-134026,38109,Other,High-Back Leather Manager's Chair,-114,-0.1370192308,8,South,832,Consumer,5/2/2016,Standard Class,Tennessee,Chairs
1%,1,Furniture,Memphis,United States,Joel Eaton,20%,1,4/26/2016,US-2016-134026,38109,Tenex,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1,0.01030927835,2,South,97,Consumer,5/2/2016,Standard Class,Tennessee,Furnishings
-25%,1,Office Supplies,Memphis,United States,Joel Eaton,20%,1,4/26/2016,US-2016-134026,38109,SAFCO,Safco Industrial Wire Shelving System,-18,-0.2465753425,1,South,73,Consumer,5/2/2016,Standard Class,Tennessee,Storage
-155%,1,Office Supplies,Houston,United States,Ken Brennan,80%,1,12/9/2018,US-2018-118038,77041,Other,Economy Binders,-2,-2,3,Central,1,Corporate,12/11/2018,First Class,Texas,Binders
-60%,1,Furniture,Houston,United States,Ken Brennan,60%,1,12/9/2018,US-2018-118038,77041,Other,"6"" Cubicle Wall Clock, Black",-6,-0.6,3,Central,10,Corporate,12/11/2018,First Class,Texas,Furnishings
10%,1,Office Supplies,Houston,United States,Ken Brennan,20%,1,12/9/2018,US-2018-118038,77041,Other,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3,0.1111111111,3,Central,27,Corporate,12/11/2018,First Class,Texas,Storage
-75%,1,Furniture,Houston,United States,Joel Eaton,60%,1,11/26/2015,US-2015-147606,77070,Eldon,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-14,-0.7368421053,5,Central,19,Consumer,12/1/2015,Second Class,Texas,Furnishings
27%,1,Office Supplies,Decatur,United States,Stewart Carmichael,0%,1,6/12/2017,CA-2017-127208,35601,Other,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56,0.2692307692,1,South,208,Corporate,6/15/2017,First Class,Alabama,Appliances
48%,1,Office Supplies,Decatur,United States,Stewart Carmichael,0%,1,6/12/2017,CA-2017-127208,35601,Avery,Avery Heavy-Duty EZD  Binder With Locking Rings,8,0.4705882353,3,South,17,Corporate,6/15/2017,First Class,Alabama,Binders
28%,1,Office Supplies,San Francisco,United States,Duane Noonan,0%,1,10/12/2015,CA-2015-139451,94122,Other,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4,0.2666666667,5,West,15,Consumer,10/16/2015,Standard Class,California,Art
29%,1,Office Supplies,San Francisco,United States,Duane Noonan,0%,1,10/12/2015,CA-2015-139451,94122,Other,"Sortfiler Multipurpose Personal File Organizer, Black",6,0.2857142857,1,West,21,Consumer,10/16/2015,Standard Class,California,Storage
31%,1,Office Supplies,Durham,United States,Julie Creighton,20%,1,9/3/2016,CA-2016-149734,27707,Other,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,63,0.3134328358,7,South,201,Corporate,9/8/2016,Standard Class,North Carolina,Envelopes
-21%,1,Office Supplies,Chicago,United States,Christopher Schild,20%,1,11/13/2018,US-2018-119662,60623,SAFCO,Safco Industrial Wire Shelving,-49,-0.2130434783,3,Central,230,Home Office,11/16/2018,First Class,Illinois,Storage
11%,1,Furniture,Columbia,United States,Patrick O'Donnell,0%,1,5/28/2018,CA-2018-140088,29203,Novimex,Novimex Swivel Fabric Task Chair,33,0.1092715232,2,South,302,Consumer,5/30/2018,Second Class,South Carolina,Chairs
34%,1,Technology,Rochester,United States,Paul Gonzalez,0%,1,10/26/2018,CA-2018-155558,55901,Logitech,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,7,0.35,1,Central,20,Consumer,11/2/2018,Standard Class,Minnesota,Accessories
48%,1,Office Supplies,Rochester,United States,Paul Gonzalez,0%,1,10/26/2018,CA-2018-155558,55901,Avery,Avery 511,3,0.5,2,Central,6,Consumer,11/2/2018,Standard Class,Minnesota,Labels
9%,1,Office Supplies,Houston,United States,Gary Mitchum,20%,1,4/5/2017,CA-2017-159695,77095,Eldon,Eldon Portable Mobile Manager,14,0.08860759494,7,Central,158,Home Office,4/10/2017,Second Class,Texas,Storage
33%,1,Office Supplies,Los Angeles,United States,Jim Sink,0%,1,9/17/2017,CA-2017-109806,90036,Other,Turquoise Lead Holder with Pocket Clip,7,0.35,3,West,20,Corporate,9/22/2017,Standard Class,California,Art
11%,1,Technology,Los Angeles,United States,Jim Sink,20%,1,9/17/2017,CA-2017-109806,90036,Panasonic,Panasonic Kx-TS550,8,0.1081081081,2,West,74,Corporate,9/22/2017,Standard Class,California,Phones
48%,1,Office Supplies,Los Angeles,United States,Jim Sink,0%,1,9/17/2017,CA-2017-109806,90036,Xerox,Xerox 1995,3,0.5,1,West,6,Corporate,9/22/2017,Standard Class,California,Paper
48%,1,Office Supplies,Minneapolis,United States,Karl Braun,0%,1,1/31/2016,CA-2016-149587,55407,Xerox,Xerox 1999,6,0.4615384615,2,Central,13,Consumer,2/5/2016,Second Class,Minnesota,Paper
31%,1,Furniture,Minneapolis,United States,Karl Braun,0%,1,1/31/2016,CA-2016-149587,55407,Seth Thomas,"Seth Thomas 13 1/2"" Wall Clock",17,0.320754717,3,Central,53,Consumer,2/5/2016,Second Class,Minnesota,Furnishings
49%,1,Office Supplies,Minneapolis,United States,Karl Braun,0%,1,1/31/2016,CA-2016-149587,55407,Ibico,Ibico Standard Transparent Covers,16,0.4848484848,2,Central,33,Consumer,2/5/2016,Second Class,Minnesota,Binders
-67%,1,Office Supplies,Portland,United States,Roger Barcio,70%,1,11/6/2018,US-2018-109484,97206,Other,Flexible Leather- Look Classic Collection Ring Binder,-4,-0.6666666667,1,West,6,Home Office,11/12/2018,Standard Class,Oregon,Binders
42%,1,Furniture,New York City,United States,Parhena Norris,0%,1,11/9/2018,CA-2018-161018,10009,Other,9-3/4 Diameter Round Wall Clock,41,0.4226804124,7,East,97,Home Office,11/11/2018,Second Class,New York,Furnishings
35%,1,Office Supplies,San Francisco,United States,Katherine Ducich,20%,1,6/17/2018,CA-2018-157833,94122,Other,Trimflex Flexible Post Binders,18,0.3529411765,3,West,51,Consumer,6/20/2018,First Class,California,Binders
29%,1,Office Supplies,Saint Paul,United States,Elpida Rittenbach,0%,1,9/6/2017,CA-2017-149223,55106,Fellowes,Fellowes Basic Home/Office Series Surge Protectors,23,0.2948717949,6,Central,78,Corporate,9/11/2017,Standard Class,Minnesota,Appliances
35%,1,Office Supplies,Chicago,United States,Rick Bensley,20%,1,8/29/2017,CA-2017-158568,60610,Avery,Avery Personal Creations Heavyweight Cards,23,0.3538461538,7,Central,65,Home Office,9/2/2017,Standard Class,Illinois,Paper
-11%,1,Technology,Chicago,United States,Rick Bensley,20%,1,8/29/2017,CA-2017-158568,60610,SanDisk,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,-11,-0.1145833333,3,Central,96,Home Office,9/2/2017,Standard Class,Illinois,Accessories
-170%,1,Office Supplies,Chicago,United States,Rick Bensley,80%,1,8/29/2017,CA-2017-158568,60610,Avery,Avery Hidden Tab Dividers for Binding Systems,-3,-1.5,3,Central,2,Home Office,9/2/2017,Standard Class,Illinois,Binders
49%,1,Office Supplies,Rochester,United States,Gary Zandusky,0%,1,12/1/2017,CA-2017-129903,55901,Universal,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),12,0.5,4,Central,24,Consumer,12/4/2017,Second Class,Minnesota,Paper
-11%,1,Technology,Aurora,United States,Lena Cacioppo,20%,1,11/13/2016,US-2016-156867,80013,Logitech,Logitech K350 2.4Ghz Wireless Keyboard,-27,-0.1129707113,6,West,239,Consumer,11/17/2016,Standard Class,Colorado,Accessories
-4%,1,Furniture,Aurora,United States,Lena Cacioppo,20%,1,11/13/2016,US-2016-156867,80013,Deflect-o,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",-4,-0.03921568627,3,West,102,Consumer,11/17/2016,Standard Class,Colorado,Furnishings
-70%,1,Office Supplies,Aurora,United States,Lena Cacioppo,70%,1,11/13/2016,US-2016-156867,80013,Avery,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-26,-0.7027027027,3,West,37,Consumer,11/17/2016,Standard Class,Colorado,Binders
24%,1,Technology,Charlotte,United States,Janet Martin,20%,1,11/23/2018,CA-2018-119004,28205,Memorex,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,18,0.2432432432,8,South,74,Consumer,11/28/2018,Standard Class,North Carolina,Accessories
8%,1,Technology,Charlotte,United States,Janet Martin,20%,1,11/23/2018,CA-2018-119004,28205,Other,Speck Products Candyshell Flip Case,2,0.07142857143,1,South,28,Consumer,11/28/2018,Standard Class,North Carolina,Phones
33%,1,Office Supplies,Charlotte,United States,Janet Martin,20%,1,11/23/2018,CA-2018-119004,28205,Newell,Newell Chalk Holder,1,0.3333333333,1,South,3,Consumer,11/28/2018,Standard Class,North Carolina,Art
20%,1,Technology,Orland Park,United States,Pete Armstrong,20%,1,10/15/2016,CA-2016-129476,60462,Logitech,Logitech Gaming G510s - Keyboard,68,0.2,5,Central,340,Home Office,10/20/2016,Standard Class,Illinois,Accessories
26%,1,Furniture,New York City,United States,Cynthia Voltz,0%,1,12/25/2018,CA-2018-146780,10035,Other,Magnifier Swing Arm Lamp,11,0.2619047619,2,East,42,Corporate,12/30/2018,Standard Class,New York,Furnishings
30%,1,Office Supplies,Urbandale,United States,Clay Ludtke,0%,1,11/3/2017,CA-2017-128867,50322,Hunt,"Hunt PowerHouse Electric Pencil Sharpener, Blue",23,0.3026315789,2,Central,76,Consumer,11/10/2017,Standard Class,Iowa,Art
49%,1,Office Supplies,Urbandale,United States,Clay Ludtke,0%,1,11/3/2017,CA-2017-128867,50322,Avery,"Avery Durable Plastic 1"" Binders",13,0.4814814815,6,Central,27,Consumer,11/10/2017,Standard Class,Iowa,Binders
